timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/03/27 18:50:06.650, 1, 10 %, 3 %, 608 MiB, 49140 MiB, 51, 80.43 W
2026/03/27 18:50:06.650, 2, 18 %, 4 %, 606 MiB, 49140 MiB, 50, 84.51 W
2026/03/27 18:50:06.650, 3, 22 %, 5 %, 618 MiB, 49140 MiB, 47, 82.71 W
2026/03/27 18:50:36.651, 0, 15 %, 3 %, 1863 MiB, 49140 MiB, 48, 90.54 W
2026/03/27 18:50:36.651, 1, 9 %, 2 %, 608 MiB, 49140 MiB, 51, 80.19 W
2026/03/27 18:50:36.651, 2, 6 %, 2 %, 606 MiB, 49140 MiB, 50, 84.30 W
2026/03/27 18:50:36.652, 3, 1 %, 1 %, 618 MiB, 49140 MiB, 47, 78.29 W
2026/03/27 18:51:06.652, 0, 14 %, 3 %, 1863 MiB, 49140 MiB, 48, 88.30 W
2026/03/27 18:51:06.653, 1, 14 %, 3 %, 608 MiB, 49140 MiB, 51, 82.68 W
2026/03/27 18:51:06.653, 2, 24 %, 4 %, 606 MiB, 49140 MiB, 50, 84.92 W
2026/03/27 18:51:06.653, 3, 18 %, 5 %, 618 MiB, 49140 MiB, 46, 79.67 W
2026/03/27 18:51:36.654, 0, 22 %, 4 %, 1863 MiB, 49140 MiB, 48, 89.84 W
2026/03/27 18:51:36.654, 1, 0 %, 0 %, 608 MiB, 49140 MiB, 51, 80.01 W
2026/03/27 18:51:36.654, 2, 23 %, 4 %, 606 MiB, 49140 MiB, 50, 84.89 W
2026/03/27 18:51:36.654, 3, 14 %, 3 %, 618 MiB, 49140 MiB, 47, 81.32 W
2026/03/27 18:52:06.655, 0, 13 %, 3 %, 1863 MiB, 49140 MiB, 48, 88.93 W
2026/03/27 18:52:06.655, 1, 21 %, 4 %, 608 MiB, 49140 MiB, 51, 83.57 W
2026/03/27 18:52:06.655, 2, 10 %, 2 %, 606 MiB, 49140 MiB, 50, 85.00 W
2026/03/27 18:52:06.655, 3, 9 %, 1 %, 618 MiB, 49140 MiB, 46, 77.74 W
