timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/03/29 01:23:02.343, 0, 100 %, 8 %, 7747 MiB, 49140 MiB, 59, 139.80 W
2026/03/29 01:23:02.344, 1, 0 %, 0 %, 6494 MiB, 49140 MiB, 63, 126.89 W
2026/03/29 01:23:02.344, 2, 10 %, 11 %, 6494 MiB, 49140 MiB, 62, 150.00 W
2026/03/29 01:23:02.344, 3, 100 %, 18 %, 6494 MiB, 49140 MiB, 58, 127.48 W
2026/03/29 01:23:32.345, 0, 27 %, 30 %, 7747 MiB, 49140 MiB, 60, 137.84 W
2026/03/29 01:23:32.345, 1, 95 %, 20 %, 6494 MiB, 49140 MiB, 62, 127.64 W
2026/03/29 01:23:32.345, 2, 93 %, 22 %, 6494 MiB, 49140 MiB, 62, 152.24 W
2026/03/29 01:23:32.345, 3, 0 %, 0 %, 6494 MiB, 49140 MiB, 61, 144.76 W
2026/03/29 01:24:02.347, 0, 79 %, 22 %, 7747 MiB, 49140 MiB, 59, 138.42 W
2026/03/29 01:24:02.347, 1, 0 %, 0 %, 6494 MiB, 49140 MiB, 62, 130.71 W
2026/03/29 01:24:02.347, 2, 0 %, 0 %, 6494 MiB, 49140 MiB, 62, 140.81 W
2026/03/29 01:24:02.347, 3, 100 %, 24 %, 6494 MiB, 49140 MiB, 58, 127.30 W
2026/03/29 01:24:32.349, 0, 0 %, 0 %, 7747 MiB, 49140 MiB, 61, 138.38 W
2026/03/29 01:24:32.349, 1, 79 %, 51 %, 6494 MiB, 49140 MiB, 64, 127.71 W
2026/03/29 01:24:32.349, 2, 78 %, 36 %, 6494 MiB, 49140 MiB, 61, 134.33 W
2026/03/29 01:24:32.349, 3, 0 %, 0 %, 6494 MiB, 49140 MiB, 59, 144.56 W
2026/03/29 01:25:02.351, 0, 0 %, 0 %, 7747 MiB, 49140 MiB, 64, 138.02 W
2026/03/29 01:25:02.351, 1, 59 %, 35 %, 6494 MiB, 49140 MiB, 62, 147.49 W
2026/03/29 01:25:02.351, 2, 0 %, 0 %, 6494 MiB, 49140 MiB, 62, 148.42 W
2026/03/29 01:25:02.351, 3, 100 %, 51 %, 6494 MiB, 49140 MiB, 60, 126.68 W
2026/03/29 01:25:32.353, 0, 0 %, 0 %, 7747 MiB, 49140 MiB, 60, 140.34 W
2026/03/29 01:25:32.353, 1, 93 %, 21 %, 6494 MiB, 49140 MiB, 62, 139.32 W
2026/03/29 01:25:32.353, 2, 0 %, 0 %, 6494 MiB, 49140 MiB, 63, 152.32 W
2026/03/29 01:25:32.353, 3, 0 %, 0 %, 6494 MiB, 49140 MiB, 62, 126.80 W
2026/03/29 01:26:02.354, 0, 0 %, 0 %, 7749 MiB, 49140 MiB, 61, 138.31 W
2026/03/29 01:26:02.354, 1, 0 %, 0 %, 6494 MiB, 49140 MiB, 63, 127.34 W
2026/03/29 01:26:02.355, 2, 0 %, 0 %, 6494 MiB, 49140 MiB, 61, 121.40 W
2026/03/29 01:26:02.355, 3, 0 %, 0 %, 6494 MiB, 49140 MiB, 59, 159.96 W
2026/03/29 01:26:32.355, 0, 10 %, 10 %, 7749 MiB, 49140 MiB, 60, 147.56 W
2026/03/29 01:26:32.356, 1, 0 %, 0 %, 6494 MiB, 49140 MiB, 65, 130.60 W
